ko_id,initial_num_seqs,num_groups,num_ungrouped,final_num_seqs,description,ec_numbers
K17217,221,20.0,12.0,31,Cystathionine beta-lyase,[]
K00746,282,25.0,27.0,51,Hexosyltransferase [EC:2.4.1.-],['2.4.1.-']
K03181,1050,85.0,117.0,201,Probable chorismate pyruvate-lyase [EC:4.1.3.40],['4.1.3.40']
K11002,11,1.0,11.0,11,ERI1-like protein,[]
K17462,252,20.0,23.0,42,Uncharacterized methyltransferase CN641_27030 [EC:2.1.1.-],['2.1.1.-']
K12691,14,2.0,0.0,2,KLTH0G01232p,[]
K00730,35,2.0,0.0,2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST4,[]
K17227,541,47.0,62.0,108,Sulfur oxidation protein SoxZ,[]
K18069,49,6.0,4.0,9,Phthalate dioxygenase reductase,[]
K18074,6,1.0,6.0,6,"Candidate terephthalate 1,2-dioxygenase oxygenase component large subunit",[]
K18075,3,,,3,"Oxygenase small subunit of terephthalate 1,2-dioxygenase",[]
K03419,106,12.0,7.0,18,Hexosyltransferase [EC:2.4.1.-],['2.4.1.-']
K18077,4,,,4,Ferredoxin--NAD(+) reductase-like protein,[]
K11001,102,12.0,19.0,30,Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y,[]
K18076,7,1.0,7.0,7,4-hydroxythreonine-4-phosphate dehydrogenase,[]
K18067,68,9.0,5.0,13,"4,5-dihydroxyphthalate dehydrogenase",[]
K19634,3,,,3,D-galacturonate reductase [EC:1.1.1.365],['1.1.1.365']
K12669,141,15.0,14.0,28,Putative dolichyl-diphosphooligosaccharide-protein glycotransferase,[]
K05530,29,4.0,1.0,4,Component of the mannan polymerase I,[]
K07404,1870,151.0,194.0,344,Beta-propeller fold lactonase family protein,[]
K00747,172,17.0,11.0,27,Hexosyltransferase [EC:2.4.1.-],['2.4.1.-']
K07541,216,21.0,38.0,58,Protein PBN1,[]
K05529,103,10.0,0.0,10,Uncharacterized protein,[]
K05534,40,3.0,0.0,3,Glycosyltransferase HOC1,[]
K05532,94,10.0,7.0,16,"Alpha-1,6-mannosyltransferase, putative [EC:2.4.1.-]",['2.4.1.-']
K13499,284,26.0,22.0,47,Hexosyltransferase [EC:2.4.1.-],['2.4.1.-']
K05528,165,16.0,15.0,30,Glycosyltransferase family 32 protein,[]
K05310,295,32.0,30.0,61,GPI ethanolamine phosphate transferase 2,[]
K05531,113,9.0,0.0,9,"Alpha-1,6-mannosyltransferase MNN10",[]
K05533,93,9.0,2.0,10,Mannan polymerase II complex ANP1 subunit,[]
K09658,273,26.0,22.0,47,Dolichol phosphate-mannose biosynthesis regulatory protein,[]
K03858,306,29.0,19.0,47,Phosphatidylinositol N-acetylglucosaminyltransferase subunit H,[]
K03860,334,24.0,25.0,48,"Phosphatidylinositol glycan, class Q",[]
K01610,2433,197.0,279.0,475,Phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49],['4.1.1.49']
K05285,351,29.0,64.0,92,GPI ethanolamine phosphate transferase 1 [EC:2.-.-.-],['2.-.-.-']
K05287,356,35.0,26.0,60,Phosphatidylinositol-glycan biosynthesis class F-like protein,[]
K12667,359,30.0,41.0,70,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,[]
K05286,377,37.0,44.0,80,GPI mannosyltransferase 3 [EC:2.4.1.-],['2.4.1.-']
K01662,4430,330.0,612.0,941,1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7],['2.2.1.7']
K00645,5027,382.0,736.0,1117,Malonyl CoA-acyl carrier protein transacylase [EC:2.3.1.39],['2.3.1.39']
K05288,384,33.0,46.0,78,GPI ethanolamine phosphate transferase 3,[]
K01911,1664,120.0,171.0,290,AMP-dependent synthetase/ligase domain-containing protein,[]
K01228,386,29.0,28.0,56,Mannosyl-oligosaccharide glucosidase [EC:3.2.1.106],['3.2.1.106']
K03841,2766,202.0,372.0,573,"Fructose-1,6-bisphosphatase class 1 [EC:3.1.3.11]",['3.1.3.11']
K07542,369,37.0,19.0,55,GPI mannosyltransferase 2 [EC:2.4.1.-],['2.4.1.-']
K03861,365,33.0,32.0,64,PIG-P domain-containing protein,[]
K02549,1730,147.0,216.0,362,Enolase C-terminal domain-containing protein,[]
K05284,380,39.0,28.0,66,GPI mannosyltransferase 1 [EC:2.4.1.-],['2.4.1.-']
K11205,244,24.0,23.0,46,GCS light chain,[]
K09661,78,4.0,0.0,4,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B",[]
K03857,408,43.0,46.0,88,phosphatidylinositol N-acetylglucosaminyltransferase [EC:2.4.1.198],['2.4.1.198']
K11204,365,29.0,54.0,82,Glutamate--cysteine ligase catalytic subunit isoform X1,[]
K01834,3643,296.0,498.0,793,Histidine phosphatase family protein,[]
K03184,499,46.0,44.0,89,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",[]
K19222,1581,130.0,194.0,323,Thioesterase superfamily protein,[]
K01895,7256,526.0,1031.0,1556,AMP-binding protein,[]
K13799,122,6.0,2.0,7,Bifunctional pantoate ligase/cytidylate kinase [EC:6.3.2.1],['6.3.2.1']
K05546,412,36.0,51.0,86,Neutral alpha-glucosidase AB,[]
K15357,182,9.0,6.0,14,Alpha/beta hydrolase fold protein,[]
K18103,53,4.0,0.0,4,Dihydrodipicolinate synthase,[]
K18102,77,7.0,6.0,12,Mandelate racemase/muconate lactonizing enzyme C-terminal domain-containing protein,[]
K03859,372,38.0,23.0,60,Phosphatidylinositol N-acetylglucosaminyltransferase subunit C,[]
K18106,101,3.0,0.0,3,Oxidoreductase family protein,[]
K21456,448,45.0,36.0,80,Glutathione synthetase [EC:6.3.2.3],['6.3.2.3']
K03434,405,37.0,44.0,80,N-acetylglucosaminylphosphatidylinositol deacetylase [EC:3.5.1.89],['3.5.1.89']
K23741,430,40.0,43.0,82,"alpha-1,2-Mannosidase [EC:3.2.1.-]",['3.2.1.-']
K01661,1730,141.0,179.0,319,"1,4-dihydroxy-2-naphthoyl-CoA synthase [EC:4.1.3.36]",['4.1.3.36']
K01616,630,61.0,64.0,124,"2-oxoglutarate dehydrogenase, E1 subunit",[]
K01947,29,3.0,0.0,3,Type III pantothenate kinase [EC:2.7.1.33],['2.7.1.33']
K12670,410,34.0,36.0,69,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,[]
K05283,395,35.0,34.0,68,Uncharacterized protein At4g17910-like isoform X1,[]
K18800,956,84.0,110.0,193,FAD-binding domain-containing protein,[]
K00965,2344,173.0,239.0,411,Galactose-1-phosphate uridylyltransferase [EC:2.7.7.12],['2.7.7.12']
K18029,357,34.0,39.0,72,(2Fe-2S)-binding domain-containing protein,[]
K18028,270,27.0,18.0,44,Putative leucyl aminopeptidase,[]
K12666,463,43.0,59.0,101,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,[]
K18068,219,20.0,11.0,30,Ring-hydroxylating oxygenase subunit alpha,[]
K18107,75,2.0,0.0,2,NADP-dependent oxidoreductase domain-containing protein,[]
K00744,151,15.0,14.0,28,"alpha-1,6-mannosyl-glycoprotein 6-beta-N-acetylglucosaminyltransferase [EC:2.4.1.155]",['2.4.1.155']
K12668,352,34.0,43.0,76,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,[]
K01217,124,12.0,4.0,15,Uncharacterized protein,[]
